,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
47,48,Siw Døvle,no NOR,FW,Trondheims-Ørn,18.0,1998.0,10,8,763,8.5,0,,0,0,0,0,0,0.0,,,0.0,,Matches
48,49,Siw Døvle,no NOR,FW,Kolbotn,18.0,1998.0,10,10,847,9.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
49,50,Vile Edvardsen,no NOR,DF,Grand Bodø,21.0,1995.0,3,0,85,0.9,0,,0,0,0,0,0,0.0,,,0.0,,Matches
50,51,Oda Eide Arnesen,no NOR,DF,Avaldsnes,16.0,2000.0,3,0,38,0.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
51,52,Nora Eide Lie,no NOR,MF,Kolbotn,19.0,1997.0,13,10,974,10.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
52,53,Åsne Eide,no NOR,DF,Trondheims-Ørn,22.0,1994.0,7,7,616,6.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
53,54,Amalie Eikeland,no NOR,FW,Arna-Bjørnar,21.0,1995.0,22,21,1918,21.3,5,,5,0,0,2,0,0.23,,,0.23,,Matches
54,55,Sina Elise Tosterud,no NOR,MF,Sandviken,20.0,1996.0,19,15,1288,14.3,1,,1,0,0,0,0,0.07,,,0.07,,Matches
55,56,Heidi Ellingsen,no NOR,MF,Stabæk,18.0,1998.0,21,14,1349,15.0,3,,3,0,0,0,0,0.2,,,0.2,,Matches
56,57,Ingrid Elvebakken,no NOR,DF,Kolbotn,19.0,1997.0,22,22,1980,22.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
57,58,Rakel Engesvik,no NOR,MF,Trondheims-Ørn,18.0,1998.0,22,16,1442,16.0,8,,8,0,0,1,0,0.5,,,0.5,,Matches
58,59,Tine Erichsen Engan,no NOR,MF,Grand Bodø,26.0,1990.0,15,14,1275,14.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
59,60,Camilla Ervik,no NOR,MF,Sandviken,22.0,1995.0,21,20,1712,19.0,2,,2,0,0,0,0,0.11,,,0.11,,Matches
60,61,Josefine Ervik,no NOR,GK,Vålerenga,22.0,1994.0,3,2,214,2.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
61,62,Tuva Espås,no NOR,FW,Røa,17.0,1999.0,7,0,61,0.7,0,,0,0,0,1,0,0.0,,,0.0,,Matches
62,63,Cecilie Falch,no NOR,FW,Grand Bodø,20.0,1996.0,10,6,582,6.5,1,,1,0,0,0,0,0.15,,,0.15,,Matches
63,64,Lotte Fikseth Fossem,no NOR,MF,Medkila,15.0,2001.0,21,21,1844,20.5,0,,0,0,0,0,0,0.0,,,0.0,,Matches
64,65,Cecilie Fiskerstrand,no NOR,GK,LSK Kvinner,20.0,1996.0,20,20,1793,19.9,0,,0,0,0,0,0,0.0,,,0.0,,Matches
65,66,Vilde Fjelldal,no NOR,FW,Grand Bodø,19.0,1997.0,15,15,1271,14.1,4,,4,0,0,2,0,0.28,,,0.28,,Matches
66,67,Ida Fjordbakk,no NOR,DF,LSK Kvinner,25.0,1991.0,3,2,171,1.9,0,,0,0,0,0,0,0.0,,,0.0,,Matches
67,68,Martine Flakk,no NOR,DF,Stabæk,24.0,1993.0,10,1,195,2.2,1,,1,0,0,0,0,0.46,,,0.46,,Matches
68,69,Emma Fletcher,ca CAN,MF,Arna-Bjørnar,21.0,1995.0,16,13,1142,12.7,2,,2,0,0,0,0,0.16,,,0.16,,Matches
69,70,Ida Marie Fikseth Fossem,no NOR,MF,Medkila,19.0,1997.0,22,22,1980,22.0,0,,0,0,0,1,0,0.0,,,0.0,,Matches
70,71,Katie Fraine,us USA,GK,Avaldsnes,29.0,1987.0,20,20,1754,19.5,0,,0,0,0,1,0,0.0,,,0.0,,Matches
71,72,Francielle,br BRA,MF,Avaldsnes,27.0,1989.0,22,22,1960,21.8,3,,2,1,1,1,0,0.14,,,0.09,,Matches
72,73,Savannah Francis,us USA,DF,Grand Bodø,23.0,1994.0,20,20,1775,19.7,0,,0,0,0,5,0,0.0,,,0.0,,Matches
73,74,Tina Fremo,no NOR,DF,Trondheims-Ørn,25.0,1991.0,20,18,1672,18.6,2,,2,0,0,1,0,0.11,,,0.11,,Matches
74,75,Johanne Fridlund,no NOR,MF,Vålerenga,20.0,1996.0,8,8,560,6.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
75,76,Oda Fugelsnes,no NOR,FW,Trondheims-Ørn,26.0,1990.0,22,20,1768,19.6,4,,4,0,0,0,0,0.2,,,0.2,,Matches
76,77,Ina Gausdal,no NOR,DF,Kolbotn,25.0,1991.0,22,22,1927,21.4,1,,1,0,0,0,0,0.05,,,0.05,,Matches
77,78,Alyssa Giannetti,us USA,GK,Arna-Bjørnar,32.0,1984.0,16,16,1440,16.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
78,79,Emily Gielnik,au AUS,FW,Avaldsnes,24.0,1992.0,19,19,1606,17.8,8,,8,0,0,1,0,0.45,,,0.45,,Matches
79,80,Helene Gloppen,no NOR,DF,Arna-Bjørnar,23.0,1993.0,22,22,1965,21.8,3,,3,0,0,2,0,0.14,,,0.14,,Matches
80,81,Antonia Göransson,se SWE,"FW,MF",Kolbotn,26.0,1990.0,10,7,598,6.6,1,,1,0,0,1,0,0.15,,,0.15,,Matches
81,82,Celine Granli,no NOR,MF,Stabæk,21.0,1995.0,8,3,289,3.2,1,,1,0,0,0,0,0.31,,,0.31,,Matches
82,83,Kristina Grøndal,no NOR,DF,Sandviken,20.0,1996.0,22,22,1923,21.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
83,84,Solveig Gulbrandsen,no NOR,MF,Kolbotn,36.0,1981.0,6,1,193,2.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
84,85,Emilie Haavi,no NOR,"FW,MF",LSK Kvinner,24.0,1992.0,9,8,680,7.6,3,,3,0,0,0,0,0.4,,,0.4,,Matches
85,86,Benedicte Håland,no NOR,GK,Arna-Bjørnar,18.0,1998.0,2,2,180,2.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
86,87,June Hammersland,no NOR,DF,Sandviken,32.0,1984.0,18,17,1542,17.1,1,,1,0,0,2,0,0.06,,,0.06,,Matches
87,88,Hege Hansen,no NOR,FW,Klepp,26.0,1990.0,21,21,1794,19.9,4,,4,0,0,2,0,0.2,,,0.2,,Matches
88,89,Synne Hansen,no NOR,MF,LSK Kvinner,21.0,1995.0,19,16,1222,13.6,3,,3,0,0,0,0,0.22,,,0.22,,Matches
89,90,Tuva Hansen,no NOR,MF,Klepp,19.0,1997.0,22,22,1980,22.0,0,,0,0,0,2,0,0.0,,,0.0,,Matches
90,91,Benedikthe Hartvigsen,no NOR,MF,Avaldsnes,18.0,1998.0,3,1,67,0.7,0,,0,0,0,0,0,0.0,,,0.0,,Matches
