,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
82,12.0,Sat,2018-06-30,15:00,Klepp,2–1,Kolbotn,212.0,Klepp Stadion,Cosmin Dima,Match Report,
83,12.0,Sat,2018-06-30,16:00,Grand Bodø,0–4,Arna-Bjørnar,76.0,Nordlandshallen,Karoline Marie Jensen,Match Report,
84,12.0,Sun,2018-07-01,15:00,Avaldsnes,2–2,Røa,112.0,Avaldsnes Idrettssenter,Ole-Petter Grindheim,Match Report,
85,12.0,Sun,2018-07-01,15:00,Vålerenga,6–1,Lyn,325.0,Vålerenga kultur- og idrettspark kunstgr...,Sarah Fatemeh Zangeneh,Match Report,
86,,,,,,,,,,,,
87,14.0,Wed,2018-07-04,18:00,Arna-Bjørnar,4–1,Avaldsnes,237.0,Arna Idrettspark,Emilie Dokset,Match Report,
88,,,,,,,,,,,,
89,13.0,Fri,2018-08-03,18:00,Lyn,2–2,Avaldsnes,178.0,Kringsjå Kunstgress,Ingvild Aarland,Match Report,
90,13.0,Sat,2018-08-04,14:00,Røa,0–1,Klepp,135.0,Røabanen,Marte Sørø,Match Report,
91,13.0,Sat,2018-08-04,14:00,Kolbotn,1–1,Sandviken,233.0,Sofiemyr stadion,Henrik Andreas Pettersen,Match Report,
92,13.0,Sat,2018-08-04,15:00,LSK Kvinner,2–0,Vålerenga,445.0,LSK-hallen,Henrikke Holm Nervik,Match Report,
93,13.0,Sat,2018-08-04,15:00,Stabæk,2–0,Grand Bodø,161.0,Nadderud Stadion,Malin Frantzen Øiseth,Match Report,
94,13.0,Sun,2018-08-05,14:00,Arna-Bjørnar,6–1,Trondheims-Ørn,177.0,Arna Idrettspark,Sarah Fatemeh Zangeneh,Match Report,
95,,,,,,,,,,,,
96,14.0,Sat,2018-08-11,14:00,Vålerenga,1–0,Sandviken,221.0,Vålerenga kultur- og idrettspark kunstgr...,Malin Frantzen Øiseth,Match Report,
97,14.0,Sat,2018-08-11,15:00,Klepp,2–0,Stabæk,238.0,Klepp Stadion,Emilie Dokset,Match Report,
98,14.0,Sat,2018-08-11,15:00,Røa,1–2,Kolbotn,174.0,Røabanen,Sarah Fatemeh Zangeneh,Match Report,
99,14.0,Sat,2018-08-11,16:00,Trondheims-Ørn,1–1,Lyn,163.0,Utleira Kunstgress,Stian Hansen,Match Report,
100,14.0,Sun,2018-08-12,16:00,Grand Bodø,0–3,LSK Kvinner,85.0,Nordlandshallen,Ingvild Aarland,Match Report,
101,,,,,,,,,,,,
102,4.0,Wed,2018-08-15,19:00,Kolbotn,1–0,Lyn,315.0,Sofiemyr stadion,Karoline Marie Jensen,Match Report,
103,,,,,,,,,,,,
104,15.0,Sat,2018-08-18,15:00,Stabæk,0–1,Vålerenga,172.0,Nadderud Stadion,Henrikke Holm Nervik,Match Report,
105,15.0,Sat,2018-08-18,15:00,Sandviken,5–3,Røa,242.0,Stemmemyren kunstgressbane,Ingvild Aarland,Match Report,
106,15.0,Sat,2018-08-18,15:00,Lyn,0–1,Klepp,95.0,Kringsjå Kunstgress,Marte Sørø,Match Report,
107,15.0,Sat,2018-08-18,15:00,Kolbotn,3–3,Trondheims-Ørn,103.0,Sofiemyr stadion,Malin Frantzen Øiseth,Match Report,
